# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-178.8800498208204,0.6691918737815397,-0.01947412847400663,-51.350179872478726,0.0,0.0
 0.04915792862135944,0.006041254865856674,0.12289482155339859,2.5,-178.8800498208204,0.6665151062864135,-0.01947412847400663,-51.350179872478726,0.0,0.0
 0.06948457254478668,0.01207026455432931,0.2966062529153654,8.545996673939749,-178.8867837328795,0.6638383387912874,-0.019628819681579725,-50.94549831431943,-0.3312849914853986,-16.29806635730849
 0.0850579325355201,0.01808712971804273,0.38635626270076723,5.763047270390304,-178.89355742030475,0.6611615712961612,-0.019783519163341205,-50.54712418673199,-0.43495349938999633,-6.656784917723816
 0.09816710449146654,0.02409195101059628,0.45806259256746656,5.469935866862492,-178.9003707839099,0.658484803801035,-0.01993820463684162,-50.154967220679936,-0.519740196259035,-6.467738553889259
 0.1096992781864239,0.03008482908655605,0.5196659566947259,5.341869256981143,-178.9072237196939,0.6558080363059089,-0.020092855378651672,-49.76893433784844,-0.5942449329357475,-6.460597858432455
 0.12010972417163632,0.0360658646014664,0.5745225058951509,5.269375517470267,-178.91411611883,0.6531312688107827,-0.02024744738966426,-49.388941764109546,-0.6620656930469317,-6.514683444640182
 0.12966905291832204,0.042035158211836496,0.6244469427248945,5.222588128591435,-178.92104786762326,0.6504545013156565,-0.020401961440569077,-49.01489510765916,-0.7251292404459687,-6.597068588199935
 0.13855368717598845,0.04799281057515416,0.6705568502357756,5.189848695357776,-178.92801884751157,0.6477777338205304,-0.02055637182277711,-48.64671687306066,-0.7846107882579365,-6.694878605795389
 0.14688624489702762,0.053938922349873915,0.7135998301825398,5.165638377527646,-178.93502893496458,0.6451009663254043,-0.020710659188396617,-48.28431538095424,-0.8412887960348027,-6.801994018446217
 0.15475605861538663,0.05987359419542245,0.7541057587810367,5.1469996683661074,-178.94207800156212,0.642424198830278,-0.020864792943845873,-47.927626346033435,-0.8957094601996061,-6.915114653584329
 0.16223060965452257,0.06579692677219517,0.7924666706747729,5.132202816314005,-178.94916591387636,0.6397474313351519,-0.021018756829690757,-47.57655308079002,-0.9482726490387011,-7.032287098433062
 0.1693623579684187,0.07170902074155698,0.8289824190573528,5.1201678431962305,-178.95629253348994,0.6370706638400258,-0.02117252494589583,-47.23102240074792,-0.9992808635296868,-7.152273502360801
 0.17619304954037227,0.07760997676584017,0.8638885187719756,5.110185308021407,-178.9634577169625,0.6343938963448996,-0.021326071356518875,-46.890961925545824,-1.0489689655973524,-7.274241787124765
 0.18275655447435035,0.08349989550834044,0.897374010036806,5.1017698016012725,-178.97066131580695,0.6317171288497734,-0.021479374845078593,-46.556289799520044,-1.0975231856907124,-7.397605483924232
 0.18908080561846835,0.08937887763332249,0.9295934002320438,5.094577913023618,-178.9779031764643,0.6290403613546472,-0.021632407796078185,-46.2269392028239,-1.1450937814353412,-7.521933373704315
 0.19518916343486925,0.0952470238060102,0.9606749226333439,5.088359807253979,-178.98518314030582,0.6263635938595211,-0.021785148888400108,-45.902830644984384,-1.19180376466421,-7.646897027455177
 0.2011014019768049,0.10110443469259113,0.9907264135291856,5.082929364687462,-178.99250104354573,0.623686826364395,-0.0219375735776737,-45.58389269712671,-1.2377550716226537,-7.772234938172775
 0.20683443713290006,0.10695121096020893,1.0198395977742634,5.0781450754101325,-178.99985671732418,0.6210100588692687,-0.022089652544458764,-45.270064705062644,-1.2830330842471644,-7.897738526227704
 0.21240287500593363,0.11278745327696564,1.0480932803470866,5.073897422767008,-179.00724998760398,0.6183332913741426,-0.022241364317542266,-44.96127061824519,-1.3277099338077967,-8.023228521052577
 0.21781943192646283,0.11861326231191742,1.0755557673309926,5.07010032144606,-179.01468067517865,0.6156565238790165,-0.022392681074604407,-44.657448416666035,-1.3718470393119693,-8.148553804888323
 0.22309526102996463,0.12442873873507013,1.10228673239107,5.066685166571224,-179.0221485956741,0.6129797563838904,-0.02254357967158123,-44.35852755277436,-1.4154970430100446,-8.273581808990567
 0.2282402096190591,0.13023398321738008,1.1283386766225574,5.063596609441085,-179.0296535595173,0.6103029888887641,-0.022694033774988524,-44.06444486313036,-1.4587053132298466,-8.398192804372945
 0.23326302444300878,0.13602909643074926,1.1537580851551694,5.060789502214533,-179.0371953719222,0.607626221393638,-0.02284401701398142,-43.775138119883266,-1.5015111385192843,-8.522278202519452
 0.2381715172290937,0.14181417904802116,1.1785863541802561,5.058226650647715,-179.04477383289935,0.6049494538985118,-0.02299350298073315,-43.49054603980637,-1.5439486839326175,-8.645738572467524
 0.24297269948945233,0.14758933174297922,1.202860541796361,5.055877136039311,-179.05238873720617,0.6022726864033856,-0.02314246523094836,-43.210608291752024,-1.5860477469655805,-8.768478418442376
 0.2476728933010978,0.1533546551903424,1.226613981976376,5.053715044933288,-179.06003987435844,0.5995959189082595,-0.02329087884310503,-42.93526262947511,-1.6278343955311791,-8.890409680993574
 0.2522778230964898,0.15911025006575943,1.2498767909939694,5.0517184954419685,-179.0677270286439,0.5969191514131333,-0.023438714182817188,-42.66445642880424,-1.669331483219741,-9.01144849810445
 0.25679269229930096,0.1648562170458086,1.2726762884894733,5.049868882426933,-179.0754499790808,0.5942423839180072,-0.023585947815947028,-42.39812653718651,-1.710559063837829,-9.131511626608749
